SampleID	MouseID	Time_days	Treatment
#q2:types	categorical	numeric	categorical
MOUSE.G11.Day1	G11	1	Before_Diet
MOUSE.G11.Day3	G11	3	Before_Diet
MOUSE.G11.Day7	G11	7	Before_Diet
MOUSE.G12.Day1	G12	1	Before_Diet
MOUSE.G12.Day3	G12	3	Before_Diet
MOUSE.G12.Day7	G12	7	Before_Diet
MOUSE.G21.Day1	G21	1	Before_Diet
MOUSE.G21.Day3	G21	3	Before_Diet
MOUSE.G21.Day7	G21	7	Before_Diet
MOUSE.H11.Day1	H11	1	After_Diet
MOUSE.H11.Day3	H11	3	After_Diet
MOUSE.H11.Day7	H11	7	After_Diet
MOUSE.H12.Day1	H12	1	After_Diet
MOUSE.H12.Day3	H12	3	After_Diet
MOUSE.H12.Day7	H12	7	After_Diet
MOUSE.H13.Day1	H13	1	After_Diet
MOUSE.H13.Day3	H13	3	After_Diet
MOUSE.H13.Day7	H13	7	After_Diet